part_id,part_name,spec_summary,candidate_supplier_1,candidate_supplier_2,candidate_supplier_3,lead_time_estimate,price_assumption_flag,notes
BOM-001,Walnut hull stock,FAS 8/4 quartersawn 200x650 mm or equivalent,Bell Forest Products,Owl Hardwood (Chicago),local mill,2-4 weeks,planning-estimate; prices NOT verified live,Stave option needs 10 staves 60x20x650; CNC-from-block option needs single 200x650 billet.
BOM-002,Cherry brace stock,Air-dried 6mm strips,Owl Hardwood,Bell Forest,Rockler retail,1-2 weeks,planning-estimate,Cut from existing stock if available.
BOM-004,Western red cedar soundboard,Quartersawn AAA 3 mm 200x650,LMI (Luthiers Mercantile),Stewart-MacDonald,Hibdon Hardwood (Nashville),1-3 weeks,planning-estimate,Order both 2.5 and 3.0 mm for Wolfram sweep validation.
BOM-006,String-holder strip stock,Walnut OR hard maple 10x4x150 mm,scrap from BOM-001,LMI offcuts,Stewart-MacDonald,immediate,planning-estimate,Make from BOM-001 offcuts when possible.
BOM-007,Bow-end inlay panel,Mother-of-pearl OR shell composite 100x60 mm,Stewart-MacDonald (MOP tiles),LMI Music (shell composite),Maples Inlays (pale stone composite),1-3 weeks,planning-estimate,Three-candidate sample test per R-X-02 before committing.
BOM-008,Sapele neck stock,Quartersawn 8/4 or three 12mm laminates,Bell Forest Products,Owl Hardwood,LMI,2-4 weeks,planning-estimate,Three-laminate option preferred for the curve.
BOM-009,Brass neck-body collar stock,Brass tube 60mm tall 0.8-1.2mm wall OR sheet,McMaster-Carr,Online Metals,Speedy Metals,1 week,planning-estimate,Tube is easier if diameter matches; sheet if custom-bent.
BOM-011,Lapis-look multi-strip veneer,Dyed-blue veneer 1.5mm + holly/maple spacer,Certainly Wood (dyed veneer),Veneer Supplies,LMI Music,2-4 weeks,planning-estimate,Two-supplier sample compare per R-X-01.
BOM-012,Inlay epoxy,West System 105/207 OR System Three slow-cure,West Marine,Jamestown Distributors,System Three Direct,1 week,planning-estimate,Tinted as needed for color match.
BOM-013,Heifer Zephyr brand inlay stock,Brass-leaf veneer OR matching lapis,Certainly Wood,Stewart-MacDonald,Maples Inlays,2-3 weeks,planning-estimate,Order after brand-integration gate closes.
BOM-014,Fluorocarbon string set (build),SAM-13-ROOT calibrated set strings 5-13,LMI Music,Strings Etc.,Lo-tech harp (NZ),1-2 weeks,planning-estimate,Order calibrated set after Wolfram tension sweep finalizes diameters.
BOM-015,Wound nylon bass set,SAM-13-ROOT calibrated bass set strings 1-4,LMI Music,Strings Etc.,custom-wound from gauge supplier,2-3 weeks,planning-estimate,Wound nylon brings total tension into 65-80 kgf target.
BOM-016,A-major retune string set,Drop-in fluorocarbon + wound nylon,LMI Music,Strings Etc.,Lo-tech harp,1-2 weeks,planning-estimate,Optional sibling SKU. Slightly higher gauge across the board.
BOM-017,Geared guitar tuners,Compact-housing harp/classical-guitar tuner,Stewart-MacDonald (classical),Allied Lutherie (small-format harp tuners),Pacific Coast Strings,2-3 weeks,planning-estimate,Mock-fit one tuner before bulk order per R-X-04.
